scenario_key,scenario_order,scenario_label,security_layer,run_index,source_file,scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status,is_workflow_total,is_security_step,is_deploy_step,is_valid_execution
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,kubernetes_smoke_test,2026-06-04T18:14:34Z,2026-06-04T18:14:39Z,5,success,False,False,True,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_fs,2026-06-04T18:13:23Z,2026-06-04T18:13:23Z,0,success,False,True,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_image,2026-06-04T18:13:23Z,2026-06-04T18:13:23Z,0,success,False,True,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sca_total,2026-06-04T18:13:23Z,2026-06-04T18:13:24Z,1,success,False,True,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,sonarqube_sast,2026-06-04T18:12:45Z,2026-06-04T18:13:11Z,26,success,False,True,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,unit_tests,2026-06-04T18:12:44Z,2026-06-04T18:12:45Z,1,success,False,False,False,True
c3,3,C3 - SAST + SCA,sast_sca,1,analysis/raw/c3/timing/c3_run_1.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,workflow_total,2026-06-04T18:12:43Z,2026-06-04T18:14:39Z,116,success,True,False,False,True
c3,3,C3 - SAST + SCA,sast_sca,2,analysis/raw/c3/timing/c3_run_2.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,docker_build,2026-06-04T18:27:56Z,2026-06-04T18:27:58Z,2,success,False,False,False,True
c3,3,C3 - SAST + SCA,sast_sca,2,analysis/raw/c3/timing/c3_run_2.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,install_dependencies,2026-06-04T18:27:41Z,2026-06-04T18:27:41Z,0,success,False,False,False,True
c3,3,C3 - SAST + SCA,sast_sca,2,analysis/raw/c3/timing/c3_run_2.csv,C3-sast-sca,26970627192,3,514ba44165c97f2eacb9e6d6dc5cadaa5ab007f5,kubernetes_deploy,2026-06-04T18:28:53Z,2026-06-04T18:29:22Z,29,success,False,False,True,True
